time_id,pred_RV,actual,QLIKE,MSE,stock_id,model
11700,0.04003256629867742,0.0113765183750452,-6.355364820738911,0.0008211690826015066,27,GARCH
11700,0.04003256629867742,0.0101590708715991,-6.371724701708456,0.0008924257290316695,27,GARCH
11700,0.04003256629867742,0.0073893607921424,-6.402052840380337,0.0010655788657418785,27,GARCH
11700,0.04003256629867742,0.0023564226528354,-6.43265918657081,0.001419491800022122,27,GARCH
11995,0.03759424663254465,0.0017206540814261,-6.559713702088913,0.0012869146425236687,27,GARCH
11995,0.03759424663254465,0.0022287504311285,-6.5582938767569265,0.00125071832157238,27,GARCH
11995,0.03759424663254465,1.7638159811695748e-07,-6.561808510750366,0.0014133141180331032,27,GARCH
11995,0.03759424663254465,0.0036963405481945,-6.552141300158022,0.0011490680369034229,27,GARCH
5728,0.036899754482653535,0.0094815334805354,-6.533075488992453,0.000751758842920992,27,GARCH
5728,0.036899754482653535,0.0018470846978044,-6.596595076966014,0.0012286896590456757,27,GARCH
5728,0.036899754482653535,0.0036716425646834,-6.589199882133166,0.001104107421633149,27,GARCH
5728,0.036899754482653535,0.005985771759223,-6.572786370313258,0.0009556743278245615,27,GARCH
13735,0.04210555094879275,0.0062362517871717,-6.313214828435315,0.0012866066223458687,27,GARCH
13735,0.04210555094879275,0.0084426719748281,-6.294946293147223,0.0011331894208157914,27,GARCH
13735,0.04210555094879275,0.004579314766174,-6.323323092219404,0.0014082184020336847,27,GARCH
13735,0.04210555094879275,0.0022819695675998,-6.332214140430741,0.0015859176340244977,27,GARCH
24349,0.03977607163726943,0.0058598257039304,-6.427276233020724,0.0011503117382107362,27,GARCH
24349,0.03977607163726943,0.0050760390058026,-6.432693836798018,0.0012040922646248627,27,GARCH
24349,0.03977607163726943,0.0047739370993419,-6.4345746465357765,0.001225149422211179,27,GARCH
24349,0.03977607163726943,0.0017940589850295,-6.446945156614772,0.0014426332851149137,27,GARCH
11113,0.03602009066220668,0.0039374570401358,-6.635407555791857,0.001029295380128033,27,GARCH
11113,0.03602009066220668,0.003779406345099,-6.636347598572879,0.0010394617252353934,27,GARCH
11113,0.03602009066220668,0.0088123192204106,-6.587503167104008,0.0007402628268290145,27,GARCH
27516,0.035547718399036116,0.014578509558321,-6.505567595418852,0.00043970771940552496,27,GARCH
27516,0.035547718399036116,0.0065881151637035,-6.639410811527653,0.0008386586195478872,27,GARCH
11440,0.038559849460560305,0.008331443455259,-6.464403234953955,0.0009137565296213361,27,GARCH
11440,0.038559849460560305,0.0005344173615526,-6.510895342881384,0.0014459334863162452,27,GARCH
11440,0.038559849460560305,0.0040062801585041,-6.500292691866255,0.001193949151512001,27,GARCH
11440,0.038559849460560305,0.0011435120935938,-6.510207977141692,0.0013999823019586542,27,GARCH
7564,0.035528492312890604,0.0086950008547701,-6.614946279388169,0.000720036263833026,27,GARCH
26069,0.0409802065950376,0.0048787159523236,-6.3751591572448,0.0013033176266259664,27,GARCH
26069,0.0409802065950376,0.0066827349879477,-6.362739626999182,0.001176316558639138,27,GARCH
26069,0.0409802065950376,0.00643926963531,-6.364641971053107,0.001193076326055876,27,GARCH
26069,0.0409802065950376,0.0085140297297696,-6.346168154477495,0.0010540526402468633,27,GARCH
6144,0.03885754764996316,0.0035002766228052,-6.487591534516948,0.0012501366144879037,27,GARCH
6144,0.03885754764996316,0.0040289372545566,-6.4849553498592645,0.0012130321020750218,27,GARCH
6144,0.03885754764996316,0.0037588743565326,-6.486348280797423,0.0012319168669589757,27,GARCH
6144,0.03885754764996316,0.0048337437504842,-6.480231394177212,0.0011576192317901998,27,GARCH
20785,0.03531923446903771,0.0093066150317698,-6.6172229537673,0.0006766563699881283,27,GARCH
20785,0.03531923446903771,0.0179134225049771,-6.429417480720603,0.00030296229012823545,27,GARCH
18656,0.036163847457671705,0.0070571073207557,-6.601310060940233,0.0008472023213979572,27,GARCH
18656,0.036163847457671705,0.0041407716111468,-6.626280376229884,0.0010254773866722868,27,GARCH
18656,0.036163847457671705,0.0094325678063823,-6.57135910745539,0.000714561311795439,27,GARCH
18656,0.036163847457671705,0.0113938138060073,-6.54012733475162,0.0006135545671045871,27,GARCH
31528,0.03735097196748482,0.0072297789874618,-6.537325921391417,0.0009072862665397881,27,GARCH
31528,0.03735097196748482,0.0048887085671877,-6.5576616193750255,0.0010537985450702698,27,GARCH
31528,0.03735097196748482,0.0054490688909045,-6.553509300085673,0.001017731419907525,27,GARCH
31528,0.03735097196748482,0.0043550081380383,-6.561197848230004,0.0010887336290341426,27,GARCH
18180,0.041035612309808074,0.0046993637531811,-6.373515355271794,0.0013203229591689759,27,GARCH
18180,0.041035612309808074,0.0058515664422615,-6.366296010245968,0.001237917083609621,27,GARCH
18180,0.041035612309808074,0.0038337344117436,-6.377901842553418,0.0013839797191424977,27,GARCH
18180,0.041035612309808074,0.0040529959920297,-6.376874919983344,0.0013677139097080075,27,GARCH
