time_id,pred_RV,actual_RV,rv_d,rv_w,rv_m,model
5,0.0007715573224706907,0.00043648737566239995,0.0005294819078465,0.00062592216770816,0.0007057394138221185,HAR-RV (OLS)
11,0.0002858793561377847,0.00039549919320067497,0.000691241897602,0.00049457730707652,0.00037585917259123875,HAR-RV (OLS)
16,0.00043153973098954894,0.000519855850573125,0.0001906780436861,0.00026493027105091167,0.00040748299847260985,HAR-RV (OLS)
31,0.0005978839390323934,0.00041571702894985187,0.0008819547285666,0.00031018158788455005,0.00037663778508281894,HAR-RV (OLS)
62,0.00022035082489915237,0.00024637737665189835,0.0002260399477944,0.00036798308261001996,0.0002803021256138257,HAR-RV (OLS)
72,0.0015933805791059734,0.001054871757511975,0.0018191371002974,0.00110612139063582,0.0010460746281801625,HAR-RV (OLS)
97,0.0010907346310166975,0.001032697779747525,0.0011553651528694,0.00125827923143506,0.0011914620364034875,HAR-RV (OLS)
103,0.0011658986067805727,0.0009725406289894249,0.0007877661286244,0.00095581476793094,0.0011102258544194124,HAR-RV (OLS)
109,0.0006175756779589377,0.000671410935636475,0.0005966914955118,0.0008364635868807,0.0007582888821824688,HAR-RV (OLS)
123,0.00044614987555797764,0.0004016416242384,0.0001703209228195,0.00037516540144702,0.0004655162419133312,HAR-RV (OLS)
128,0.0006024121809771379,0.00036743111017733144,0.000545777877179,0.00044349201273346606,0.00046686132970020946,HAR-RV (OLS)
146,0.001581825765933212,0.0012380392025448002,0.0016361694472358,0.00109581215476464,0.001229167586014894,HAR-RV (OLS)
147,0.000629722481085857,0.00037518717247703875,0.0005240225384524,0.0005060850183088286,0.0005475986545341901,HAR-RV (OLS)
152,0.0003813240338333791,0.0006220940568011001,0.0003704696805365,0.0005060494095633,0.00046149379072463604,HAR-RV (OLS)
157,0.0012709438595982477,0.0016320273354322751,0.0010548994245746,0.00114287691438012,0.0012191221287654874,HAR-RV (OLS)
159,0.0002851673607442508,0.000300664929515108,0.0001488296645366,0.00029893866943844,0.0002919570270731865,HAR-RV (OLS)
