time_id,pred_RV,actual_RV,rv_d,rv_w,rv_m,model
5,0.00047526180634573523,0.0007978537783072501,0.0006093967665096,0.00046995446398670005,0.000550780435616625,HAR-RV (OLS)
11,0.00045872263118193035,0.000406721089465725,0.0004227662113115,0.0003308384186214762,0.00044250814384587384,HAR-RV (OLS)
16,0.000629051862925099,0.0003849839802855479,0.0006712727377274,0.0002745031033962491,0.00042599925875806536,HAR-RV (OLS)
31,0.00031363029983979933,0.00034850475948439163,0.0001836340347601,0.00028587528848814,0.00043673593468052503,HAR-RV (OLS)
62,1e-08,0.00045549592917845,9.42778240516863e-05,0.00020335654425577727,0.0004169597760494804,HAR-RV (OLS)
72,0.0010193433996300765,0.00062435214476635,0.001927135268934,0.0009571113634000601,0.0007956314812411,HAR-RV (OLS)
97,0.0009735906540208354,0.0008382642261293,0.0008763449786757,0.0015484302271113,0.0012162851643726313,HAR-RV (OLS)
103,0.0004953160237137,0.0009486751008767,0.000505075723556,0.00072595538600912,0.0007445465095094438,HAR-RV (OLS)
109,0.0005466527243014811,0.0003320243608142095,0.0004545789814312,0.00057115187857172,0.0005255115391889336,HAR-RV (OLS)
123,0.0007699078934994798,0.000720472213545425,0.000692168850532,0.000599709832441,0.0007277043834243562,HAR-RV (OLS)
128,0.00037017903347268176,0.00048563601282095,0.0003310920773924,0.00059996895124442,0.0004691913011994383,HAR-RV (OLS)
146,0.0013667569294329891,0.001045693515994825,0.0014756637209883,0.0014323802576541001,0.0015279040609332876,HAR-RV (OLS)
147,0.00029703932371177275,0.000413960158395575,0.0005063977530644,0.00038498436047742,0.0004645720061410562,HAR-RV (OLS)
152,0.0004344893594742719,0.0005207387999045,5.439412712515502e-05,0.00025309978957791104,0.0004611159261870101,HAR-RV (OLS)
157,0.00046161774299992406,0.00089540659276045,0.0004573863256291,0.0009234400303869,0.0012121251981984436,HAR-RV (OLS)
159,0.0004838047795258358,0.0002645642863982,0.0006009523130906,0.00054951207694442,0.00044417787526548615,HAR-RV (OLS)
169,0.00046848463676141727,0.000438437501912975,0.0006637826348981,0.0005097676496744401,0.0003987155988653526,HAR-RV (OLS)
207,0.0021791079249274636,0.0013879484236281,0.0022558815401155,0.00212323460503906,0.002077521975459444,HAR-RV (OLS)
211,0.0004395985181896629,0.000519374920860975,0.000574893913491,0.00042676474592906,0.0003946791361902313,HAR-RV (OLS)
213,0.0005665760829668568,0.000571270773068275,0.0006539209336144,0.0005763252286080085,0.0005642631923169653,HAR-RV (OLS)
218,0.00047124028984822284,0.000285590298156725,0.0005686660363037,0.0003649160816338,0.00040871246744771876,HAR-RV (OLS)
