stock_id,mean_vol,std_vol,mean_spread,std_spread,cluster,median_QLIKE,median_MSE
2,0.0005597405825353,0.0006882864138512,0.0002688276154146,0.0003481928172016,0,-14.737018899324749,2.904732073085653e-09
3,0.0014440722683951,0.0011852201190853,0.0010896919832893,0.0007527535780827,2,-12.466024944482024,3.94608354434832e-08
5,0.0011147987706415,0.0010216556978141,0.0011536447496915,0.0007805102633892,2,-12.992543975028456,3.9628892073057216e-08
6,0.0016155726196185,0.0011759672375517,0.0009727942725307,0.0005525703491802,2,-12.150187237048163,4.3632397309163744e-08
7,0.000719136905076,0.0006165693299676,0.0006216852990647,0.0003701112106093,0,,
9,0.0012246530008288,0.0011645388806975,0.001277987379131,0.0009849471995721,2,-12.858012393924382,3.9424259719735134e-08
14,0.0006472319819182,0.000601154764131,0.0001939015330899,0.0001738319034298,0,-14.255041039631386,2.971204981565224e-09
15,0.0008618228340803,0.0007970172234837,0.0005932517591037,0.0005957375921078,1,,
17,0.0009584725558929,0.0008834793162266,0.0005980639838264,0.0004524227644367,1,,
18,0.0018514742717969,0.0017622345125245,0.0022041048896217,0.0013827377707683,3,-11.867199654230216,1.5185773337894374e-07
19,0.0006609179681367,0.0007494816805002,0.0005928416238142,0.0006810254591857,1,,
26,0.0007400215973886,0.0007339016928015,0.0005387937840164,0.0006110996129395,1,,
27,0.0014712238738171,0.0015302081336354,0.0016483671357024,0.0012472290331311,3,-12.525011710267393,6.527959116181905e-08
29,0.0004221942060235,0.0003024707304756,6.728735548524524e-05,2.214970449158849e-05,0,-14.980362590807657,1.4702177862259248e-09
31,0.0007560470866025,0.0008175744250605,0.0012087059174161,0.0003243209571353,1,-13.854369444526776,3.299297429136195e-08
32,0.000623936175803,0.0005166043872365,0.0003757375761538,6.844485177451222e-05,0,,
33,0.0012265810602968,0.0014125491336046,0.0016389255747396,0.0013962504287935,3,-12.923161325924688,5.4793008076962574e-08
37,0.0013982555558609,0.0014312186164818,0.0016631807806169,0.0010792526007644,3,-12.514417300208976,8.631006186215957e-08
39,0.0006266153973704,0.0006429572476185,0.0003042882330635,0.0003118610099498,0,-14.440848078195446,4.422752002975221e-09
40,0.0012317889062265,0.0011353322731127,0.0012075047746098,0.0008595089708158,2,-12.864636748316642,4.3291401451303415e-08
41,0.0004816575495058,0.0004511176444669,0.0002431013026663,6.78093114047273e-05,0,-14.855533629186384,3.375035940374986e-09
43,0.0003341855668283,0.0002882900408802,4.681455204392029e-05,1.5182356140226462e-05,0,-15.62342038141429,1.6886880079918595e-09
44,0.0007941996432739,0.0006236154925768,0.0002570014890301,0.0001308555412796,0,-13.81366268882772,5.878796986043609e-09
46,0.0004435945166134,0.0004084219910295,0.0002276322434429,8.528577937647504e-05,0,-15.012501402051385,2.901944075038322e-09
47,0.0005114253395765,0.0005086534418883,0.0002485833985244,0.000120772761277,0,-14.664339837301965,4.050255726954132e-09
48,0.0007810938446674,0.0007447040481537,0.0006046210723518,0.0005062181383595,1,,
50,0.0007230258085455,0.0004763225425363,0.0002284010709341,0.0001234133440227,0,-13.82447069845674,4.567204933606533e-09
56,0.0010601669230849,0.0007003759285717,0.0004549741480754,0.0002587228527713,1,,
59,0.0008398770755786,0.000803997137957,0.0006225338550682,0.000545041821231,1,,
62,0.0012870228104368,0.0010926223098327,0.0010123856828855,0.0007198955157239,2,-12.762858627717996,2.9791469449767122e-08
64,0.0005534577580359,0.0005115502039465,0.0002635706754822,0.0002423442853136,0,-14.529446988438924,3.884321043754242e-09
69,0.0005445793930118,0.0004239078819082,0.000111623005352,8.382830998084409e-05,0,-14.527358067420328,2.278805879165164e-09
70,0.000663757692674,0.0006987570922322,0.0004931927090181,0.0005196307629475,1,,
72,0.0007534121719743,0.0008273709888954,0.0007051369453348,0.0008095606745675,1,,
75,0.0014885212416163,0.0014826228903103,0.0016190827790606,0.0012596544023179,3,-12.446198732508684,7.071881290246472e-08
76,0.0009789315954728,0.0007862245933002,0.0005295752266382,0.0003994078049406,1,,
82,0.0007778147174882,0.000816543137092,0.0006881824448655,0.000664438627876,1,,
88,0.0010719530513817,0.0011706690055003,0.0013398799610338,0.0011672882234262,2,-13.186787278473444,3.814413190556789e-08
89,0.0007619732486122,0.0008040154608686,0.0005539634104741,0.0004282734889662,1,,
90,0.0011650848376389,0.0011734736413084,0.0011549988716407,0.0009282053897611,2,-13.021585437295135,3.3471255466772025e-08
93,0.0005599992943646,0.0005412902757937,0.0002915886743334,0.0003020729526059,0,-14.588036590272369,3.164938416939976e-09
96,0.0010398529951271,0.000734036423912,0.000557500781425,0.0003134567527433,1,,
97,0.0014347193389247,0.0012490116029176,0.0013334890915271,0.0009308805300499,3,-12.528452504573778,5.4949971071460986e-08
98,0.0009865512603616,0.0011575035569087,0.0011446089864126,0.0011142233179038,2,-13.385008412684488,3.130915387247825e-08
99,0.0005715959215161,0.0005473186117084,0.00024793859498,0.0001616389457623,0,-14.547074579839718,4.357767951991557e-09
101,0.000957413585925,0.0007541384830959,0.0005723828812296,0.0004374152032745,1,,
103,0.001151236775694,0.0013050669729654,0.0012109612121128,0.0010677146362234,2,-13.10252923801112,3.7140809111887855e-08
108,0.0007181745887486,0.000634235377059,0.0003660731247026,0.0001305469449509,0,,
109,0.0009734280478663,0.0008127090773466,0.0006190199313097,0.0004476377843232,1,,
111,0.0005812866345207,0.0004958903150969,0.000203038862261,9.001506209741908e-05,0,-14.386341739644855,3.764453705789494e-09
