stock_id,liquidity_regime,liquidity_score,median_BAS,median_vol,n_time_ids,model_recommended,baseline_model
0,illiquid,0.22678571428571428,0.0007341879423379,1362.049064461159,3830,HAR-RV,"GARCH(1,1)"
1,illiquid,0.37857142857142856,0.0005682494133925501,1759.7906465064507,3830,HAR-RV,"GARCH(1,1)"
2,liquid,0.9589285714285714,0.00017131727634574998,5837.122917960982,3830,EGARCH-X,"GARCH(1,1)"
3,illiquid,0.12857142857142856,0.0008780229623331,1138.9223777733332,3830,HAR-RV,"GARCH(1,1)"
4,illiquid,0.26249999999999996,0.00068156936493735,1467.2020948956906,3830,HAR-RV,"GARCH(1,1)"
5,illiquid,0.10178571428571427,0.0009348222069205,1069.7221276654532,3830,HAR-RV,"GARCH(1,1)"
6,illiquid,0.14642857142857146,0.0008352653764579,1197.2242934198662,3830,HAR-RV,"GARCH(1,1)"
7,illiquid,0.38749999999999996,0.0005384091517085,1857.3235555650617,3830,HAR-RV,"GARCH(1,1)"
8,illiquid,0.39642857142857146,0.0005360118594933501,1865.6303636911246,3830,HAR-RV,"GARCH(1,1)"
9,illiquid,0.08392857142857146,0.0009866020336606,1013.5799095099059,3830,HAR-RV,"GARCH(1,1)"
10,liquid,0.7982142857142858,0.00025979361175264997,3849.2093522115947,3830,EGARCH-X,"GARCH(1,1)"
11,illiquid,0.29821428571428565,0.00064315455287995,1554.8362295690924,3830,HAR-RV,"GARCH(1,1)"
13,liquid,0.7625,0.00026591011899505,3760.6692207855613,3829,EGARCH-X,"GARCH(1,1)"
14,liquid,0.9678571428571427,0.00015297239861855,6537.127018582334,3830,EGARCH-X,"GARCH(1,1)"
15,liquid,0.5303571428571429,0.0004322663171537,2313.3886687831664,3830,EGARCH-X,"GARCH(1,1)"
16,illiquid,0.2357142857142857,0.0007326301596981,1364.945172898802,3830,HAR-RV,"GARCH(1,1)"
17,illiquid,0.47678571428571426,0.0004635287847483,2157.3633243575337,3830,HAR-RV,"GARCH(1,1)"
18,illiquid,0.0035714285714285713,0.0018479106023457,541.1517195315728,3830,HAR-RV,"GARCH(1,1)"
19,liquid,0.5660714285714286,0.00040502699772445,2468.9712182619405,3830,EGARCH-X,"GARCH(1,1)"
20,liquid,0.7267857142857143,0.0002701079056911,3702.224107218902,3830,EGARCH-X,"GARCH(1,1)"
21,liquid,0.6642857142857143,0.0003211437906928,3113.8699516584634,3830,EGARCH-X,"GARCH(1,1)"
22,illiquid,0.24464285714285716,0.0007202878030012,1388.3339351765053,3830,HAR-RV,"GARCH(1,1)"
23,illiquid,0.36964285714285716,0.0005771606923099,1732.6197250159598,3830,HAR-RV,"GARCH(1,1)"
26,liquid,0.6107142857142858,0.0003745397513755,2669.9435676119624,3830,EGARCH-X,"GARCH(1,1)"
27,illiquid,0.030357142857142867,0.0012960754154655,771.5600404632618,3830,HAR-RV,"GARCH(1,1)"
28,liquid,0.6553571428571429,0.00032244233533445003,3101.329727675131,3830,EGARCH-X,"GARCH(1,1)"
29,liquid,0.9857142857142857,6.38411690383922e-05,15663.87356425375,3830,EGARCH-X,"GARCH(1,1)"
30,illiquid,0.28035714285714286,0.00065076249150405,1536.6589394375594,3830,HAR-RV,"GARCH(1,1)"
31,illiquid,0.021428571428571457,0.00130252939366015,767.73699302147,3830,HAR-RV,"GARCH(1,1)"
32,liquid,0.575,0.000388136298141,2576.4145347640883,3830,EGARCH-X,"GARCH(1,1)"
33,illiquid,0.04821428571428568,0.0012357409601384,809.2310866575164,3830,HAR-RV,"GARCH(1,1)"
34,liquid,0.8071428571428572,0.00025531260559130003,3916.767045976662,3830,EGARCH-X,"GARCH(1,1)"
35,liquid,0.8160714285714286,0.0002529873450434,3952.7668857616572,3830,EGARCH-X,"GARCH(1,1)"
36,liquid,0.7714285714285714,0.0002629977522416,3802.313865777003,3830,EGARCH-X,"GARCH(1,1)"
37,illiquid,0.01249999999999998,0.0013709169138726,729.4388083484763,3830,HAR-RV,"GARCH(1,1)"
38,illiquid,0.27142857142857146,0.000668535982062,1495.8058007822533,3815,HAR-RV,"GARCH(1,1)"
39,liquid,0.8696428571428572,0.00021152760534175002,4727.515345780557,3830,EGARCH-X,"GARCH(1,1)"
40,illiquid,0.09285714285714286,0.0009411333477493,1062.5486838729903,3830,HAR-RV,"GARCH(1,1)"
41,liquid,0.8428571428571429,0.0002289465416016,4367.831865943121,3830,EGARCH-X,"GARCH(1,1)"
42,liquid,0.6196428571428572,0.00036884508266545003,2711.1653293565532,3830,EGARCH-X,"GARCH(1,1)"
43,liquid,0.9946428571428572,4.4609580046428565e-05,22416.709571346197,3830,EGARCH-X,"GARCH(1,1)"
44,liquid,0.8517857142857143,0.0002229350204722,4485.611986386504,3830,EGARCH-X,"GARCH(1,1)"
46,liquid,0.8785714285714286,0.00020953549155919998,4772.461183348023,3830,EGARCH-X,"GARCH(1,1)"
47,liquid,0.825,0.00022968696307720002,4353.751674031959,3830,EGARCH-X,"GARCH(1,1)"
48,illiquid,0.49464285714285716,0.00046086793566595,2169.818992931544,3830,HAR-RV,"GARCH(1,1)"
50,liquid,0.8875000000000001,0.0002023318354352,4942.375962990252,3830,EGARCH-X,"GARCH(1,1)"
51,liquid,0.7535714285714286,0.0002680811499452,3730.213781179377,3830,EGARCH-X,"GARCH(1,1)"
52,liquid,0.7803571428571429,0.0002622987614318,3812.446519211818,3830,EGARCH-X,"GARCH(1,1)"
53,liquid,0.6464285714285714,0.00032733436263205,3054.9802111190074,3830,EGARCH-X,"GARCH(1,1)"
55,illiquid,0.20892857142857146,0.0007669043158877,1303.9436332321186,3830,HAR-RV,"GARCH(1,1)"
56,liquid,0.5839285714285714,0.00038725658481675003,2582.2672595139516,3830,EGARCH-X,"GARCH(1,1)"
58,illiquid,0.34285714285714286,0.000580280779013,1723.3036767147462,3830,HAR-RV,"GARCH(1,1)"
59,liquid,0.5035714285714286,0.0004592542448185,2177.443129463829,3830,EGARCH-X,"GARCH(1,1)"
60,illiquid,0.30714285714285716,0.0006286603055519,1590.6841758736673,3830,HAR-RV,"GARCH(1,1)"
61,liquid,0.6285714285714286,0.0003666209645667,2727.6127026478953,3830,EGARCH-X,"GARCH(1,1)"
62,illiquid,0.1732142857142857,0.00080143619402535,1247.759969877422,3830,HAR-RV,"GARCH(1,1)"
63,liquid,0.7892857142857143,0.0002610411748501,3830.8132829499687,3830,EGARCH-X,"GARCH(1,1)"
64,liquid,0.9053571428571429,0.00019591255257345,5104.318160692706,3830,EGARCH-X,"GARCH(1,1)"
66,illiquid,0.35178571428571426,0.0005790934105273,1726.8371247558123,3830,HAR-RV,"GARCH(1,1)"
67,liquid,0.7446428571428572,0.00026902799847649996,3717.085231926836,3830,EGARCH-X,"GARCH(1,1)"
68,liquid,0.7,0.00029666052547959996,3370.8562959354413,3830,EGARCH-X,"GARCH(1,1)"
69,liquid,0.9767857142857141,8.65770318499802e-05,11550.407524512335,3830,EGARCH-X,"GARCH(1,1)"
70,liquid,0.6375,0.00036585628915285,2733.3136798584865,3830,EGARCH-X,"GARCH(1,1)"
72,illiquid,0.45892857142857146,0.0004801179359052,2082.821584984573,3830,HAR-RV,"GARCH(1,1)"
73,illiquid,0.43214285714285716,0.000487391964266,2051.7367402763293,3830,HAR-RV,"GARCH(1,1)"
74,liquid,0.5928571428571429,0.0003844335360937,2601.229877500242,3830,EGARCH-X,"GARCH(1,1)"
75,illiquid,0.03928571428571428,0.0012446909639975,803.4122757574776,3829,HAR-RV,"GARCH(1,1)"
76,liquid,0.5482142857142858,0.0004136457849681,2417.5273544327356,3830,EGARCH-X,"GARCH(1,1)"
77,liquid,0.7089285714285714,0.00029405129356405,3400.7672194873426,3830,EGARCH-X,"GARCH(1,1)"
78,illiquid,0.2178571428571429,0.00073831891078445,1354.4282631736933,3830,HAR-RV,"GARCH(1,1)"
80,illiquid,0.18214285714285716,0.0007835982961127499,1276.1640818892047,3820,HAR-RV,"GARCH(1,1)"
81,illiquid,0.33392857142857146,0.0006021454421745,1660.7283389686488,3830,HAR-RV,"GARCH(1,1)"
82,illiquid,0.41428571428571426,0.000493509079945,2026.3051697274684,3830,HAR-RV,"GARCH(1,1)"
83,illiquid,0.19107142857142856,0.0007776852487011,1285.8672601714907,3830,HAR-RV,"GARCH(1,1)"
84,liquid,0.6732142857142858,0.0003147589217562,3177.03465058797,3830,EGARCH-X,"GARCH(1,1)"
85,liquid,0.6821428571428572,0.000313616159752,3188.611201638332,3830,EGARCH-X,"GARCH(1,1)"
86,liquid,0.7357142857142858,0.0002696568510691,3708.4168120903714,3830,EGARCH-X,"GARCH(1,1)"
87,illiquid,0.31607142857142856,0.0006090644832216501,1641.8622782371785,3830,HAR-RV,"GARCH(1,1)"
88,illiquid,0.07499999999999998,0.0010041000833765999,995.9166588268788,3830,HAR-RV,"GARCH(1,1)"
89,liquid,0.5571428571428572,0.0004106843134894,2434.9603019980227,3830,EGARCH-X,"GARCH(1,1)"
