stock_id,regime,median_BAS
2,liquid,0.00017131727634574998
3,illiquid,0.0008780229623331
5,illiquid,0.0009348222069205
6,illiquid,0.0008352653764579
9,illiquid,0.0009866020336606
14,liquid,0.00015297239861855
18,illiquid,0.0018479106023457
27,illiquid,0.0012960754154655
29,liquid,6.38411690383922e-05
31,illiquid,0.00130252939366015
33,illiquid,0.0012357409601384
37,illiquid,0.0013709169138726
39,liquid,0.00021152760534175002
40,illiquid,0.0009411333477493
41,liquid,0.0002289465416016
43,liquid,4.4609580046428565e-05
44,liquid,0.0002229350204722
46,liquid,0.00020953549155919998
47,liquid,0.00022968696307720002
50,liquid,0.0002023318354352
62,illiquid,0.00080143619402535
64,liquid,0.00019591255257345
69,liquid,8.65770318499802e-05
75,illiquid,0.0012446909639975
88,illiquid,0.0010041000833765999
90,illiquid,0.0008791989684774
93,liquid,0.0001938415632571
97,illiquid,0.0010639004833124
98,illiquid,0.00081855920789295
99,liquid,0.0001987404685516
103,illiquid,0.0008941056968369
111,liquid,0.00019127138939189998
112,illiquid,0.0011048930943411
116,illiquid,0.0008201101680127
119,liquid,0.0002228658500735
120,liquid,0.00022967235501135
123,liquid,0.00017657341570314998
124,liquid,0.00019378437862985
125,liquid,0.00018866183969905
126,illiquid,0.00087201219679265
