stock_id,regime,median_BAS
0,illiquid,0.0007341879423379
1,illiquid,0.0005682494133925
4,illiquid,0.0006815693649373
7,illiquid,0.0005384091517085
8,illiquid,0.0005360118594933
10,liquid,0.0002597936117526
11,illiquid,0.0006431545528799
13,liquid,0.000265910118995
15,liquid,0.0004322663171537
16,illiquid,0.0007326301596981
17,illiquid,0.0004635287847483
19,liquid,0.0004050269977244
20,liquid,0.0002701079056911
21,liquid,0.0003211437906928
22,illiquid,0.0007202878030012
23,illiquid,0.0005771606923099
26,liquid,0.0003745397513755
28,liquid,0.0003224423353344
30,illiquid,0.000650762491504
32,liquid,0.000388136298141
34,liquid,0.0002553126055913
35,liquid,0.0002529873450434
36,liquid,0.0002629977522416
38,illiquid,0.000668535982062
42,liquid,0.0003688450826654
48,illiquid,0.0004608679356659
51,liquid,0.0002680811499452
52,liquid,0.0002622987614318
53,liquid,0.000327334362632
55,illiquid,0.0007669043158877
56,liquid,0.0003872565848167
58,illiquid,0.000580280779013
59,liquid,0.0004592542448185
60,illiquid,0.0006286603055519
61,liquid,0.0003666209645667
63,liquid,0.0002610411748501
66,illiquid,0.0005790934105273
67,liquid,0.0002690279984764
68,liquid,0.0002966605254795
70,liquid,0.0003658562891528
72,illiquid,0.0004801179359052
73,illiquid,0.000487391964266
74,liquid,0.0003844335360937
76,liquid,0.0004136457849681
77,liquid,0.000294051293564
78,illiquid,0.0007383189107844
80,illiquid,0.0007835982961127
81,illiquid,0.0006021454421745
82,illiquid,0.000493509079945
83,illiquid,0.0007776852487011
84,liquid,0.0003147589217562
85,liquid,0.000313616159752
86,liquid,0.0002696568510691
87,illiquid,0.0006090644832216
89,liquid,0.0004106843134894
94,illiquid,0.0005773578937853
95,liquid,0.0003037559403605
96,illiquid,0.0004711891352508
100,illiquid,0.0006070757918514
101,illiquid,0.0004804591153722
102,illiquid,0.0006497251743018
104,illiquid,0.0004628845920772
105,liquid,0.0002806324975916
107,liquid,0.000422959813809
108,liquid,0.0003764426564689
109,illiquid,0.000489155018245
110,illiquid,0.0007728619429338
113,illiquid,0.0004858321950197
114,illiquid,0.0005230265634565
115,liquid,0.0004323107532936
118,illiquid,0.0006925161227335
122,liquid,0.0004517024765366
