stock_id,median_BAS,mean_BAS,std_BAS,p90_BAS,median_vol,mean_vol,n_time_ids,n_buckets,median_RV,BAS_rank,vol_rank,liquidity_regime,liquidity_score
2,0.0001713172763457,0.0002642577018129,0.0003363570903156,0.0004567290249421,5837.122917960982,5848.836951889531,3830,76600,0.0003793018129279,0.0446428571428571,0.9642857142857144,liquid,0.9589285714285714
3,0.0008780229623331,0.0010783065930176,0.0007305206707392,0.0019288747066882,1138.9223777733332,1266.1815819259457,3830,76545,0.00113154779817,0.875,0.1339285714285714,illiquid,0.1285714285714285
5,0.0009348222069205,0.0011432822070757,0.0007639552551675,0.0020269236929589,1069.7221276654532,1182.911024809779,3830,76396,0.0008429577977839,0.9017857142857144,0.1071428571428571,illiquid,0.1017857142857142
6,0.0008352653764579,0.0009645695891054,0.0005399992385693,0.0016108734996031,1197.2242934198662,1320.1354170490824,3830,76508,0.0013144375424065,0.8571428571428571,0.1517857142857142,illiquid,0.1464285714285714
7,0.0005384091517085,0.0006173355350412,0.000365396471692,0.0009904669729106,1857.3235555650615,2065.351655382875,3830,76529,0.0005655741730776,0.6160714285714286,0.3928571428571428,illiquid,0.3874999999999999
9,0.0009866020336606,0.0012625027274533,0.0009588434698881,0.0023311164574917,1013.579909509906,1150.0532317433815,3830,76461,0.0008999376796398,0.9196428571428572,0.0892857142857142,illiquid,0.0839285714285714
14,0.0001529723986185,0.0001907008510193,0.0001638625980057,0.0002894693562714,6537.127018582334,6528.590017395464,3830,76600,0.000481868576787,0.0357142857142857,0.9732142857142856,liquid,0.9678571428571427
15,0.0004322663171537,0.0005850074594393,0.0005813569747475,0.0011028884070549,2313.3886687831664,2625.0445428042885,3830,76597,0.0006391978250918,0.4732142857142857,0.5357142857142857,liquid,0.5303571428571429
17,0.0004635287847483,0.0005912646217202,0.0004435249325975,0.0010687988106755,2157.3633243575337,2377.5318573632053,3830,76597,0.0007042168265193,0.5267857142857143,0.4821428571428571,illiquid,0.4767857142857142
18,0.0018479106023457,0.0021880715583276,0.0013593600833849,0.0037363263043316,541.1517195315728,600.7201627948301,3830,75995,0.0013679931825373,1.0,0.0089285714285714,illiquid,0.0035714285714285
19,0.0004050269977244,0.0005810572959372,0.0006488067725439,0.0010970655047543,2468.9712182619405,2726.0013053838893,3830,76532,0.0004656844072671,0.4375,0.5714285714285714,liquid,0.5660714285714286
26,0.0003745397513755,0.0005282778272897,0.0005794629442281,0.0009710367001764,2669.9435676119624,3002.508845391564,3830,76567,0.0005389469041874,0.3928571428571428,0.6160714285714286,liquid,0.6107142857142858
27,0.0012960754154655,0.0016275481465659,0.0012153562389706,0.0029521191406233,771.5600404632618,884.5868489813425,3830,76271,0.0010372707924645,0.9732142857142856,0.0357142857142857,illiquid,0.0303571428571428
29,6.38411690383922e-05,6.714024543520514e-05,2.1915885264452943e-05,9.14126328701648e-05,15663.87356425375,16137.274747680114,3830,76600,0.0003373065152099,0.0178571428571428,0.9910714285714286,liquid,0.9857142857142857
31,0.0013025293936601,0.001208491549751,0.0003242938028398,0.0015999907939583,767.73699302147,894.8314451766939,3830,76598,0.0004299312841395,0.9821428571428572,0.0267857142857142,illiquid,0.0214285714285714
32,0.000388136298141,0.00037541547168,6.776775057966639e-05,0.0004493055509007,2576.4145347640883,2750.6872449645184,3830,76600,0.0004948019694495,0.4285714285714285,0.5803571428571429,liquid,0.575
33,0.0012357409601384,0.0016229615562975,0.0013770018994425,0.0030301252750807,809.2310866575164,935.3873602578362,3830,75805,0.000827404368815,0.9553571428571428,0.0535714285714285,illiquid,0.0482142857142856
37,0.0013709169138726,0.0016489000450899,0.001056941683905,0.0028763541704439,729.4388083484763,807.4157852800138,3830,75671,0.0010084931352447,0.9910714285714286,0.0178571428571428,illiquid,0.0124999999999999
39,0.0002115276053417,0.0002998391937517,0.0003015166025931,0.0005486451153173,4727.515345780557,4918.170200221366,3830,76598,0.0004363287848667,0.1339285714285714,0.875,liquid,0.8696428571428572
40,0.0009411333477493,0.001193802186399,0.0008371352397303,0.0021673259185712,1062.5486838729903,1134.5097304051171,3830,76497,0.0009187671792227,0.9107142857142856,0.0982142857142857,illiquid,0.0928571428571428
41,0.0002289465416016,0.00024170504551,6.231482624316991e-05,0.0002709525398804,4367.831865943121,4253.849861694981,3830,76600,0.0003617133249107,0.1607142857142857,0.8482142857142857,liquid,0.8428571428571429
43,4.4609580046428565e-05,4.67430603110126e-05,1.5029563110719024e-05,6.128231298011027e-05,22416.7095713462,22933.606037776182,3830,76600,0.0002460503483309,0.0089285714285714,1.0,liquid,0.9946428571428572
44,0.0002229350204722,0.0002547517713889,0.0001252840923092,0.000353298113338,4485.611986386504,4378.5286635791,3830,76600,0.000611077669605,0.1517857142857142,0.8571428571428571,liquid,0.8517857142857143
46,0.0002095354915591,0.0002260161891827,7.997588962583348e-05,0.0002683566354941,4772.461183348023,4647.465744023813,3830,76600,0.0003347486561456,0.125,0.8839285714285714,liquid,0.8785714285714286
47,0.0002296869630772,0.0002461024474174,0.0001115740632469,0.0002846965750782,4353.751674031959,4289.610300095079,3830,76600,0.0003871644330232,0.1785714285714285,0.8303571428571429,liquid,0.825
48,0.0004608679356659,0.0005942866477384,0.0004816652513483,0.0010726446893199,2169.818992931544,2429.849326600512,3830,76580,0.0005753242079207,0.5089285714285714,0.5,illiquid,0.4946428571428571
50,0.0002023318354352,0.0002260813866404,0.0001200324609306,0.000371103738417,4942.375962990252,5637.962918093201,3830,76600,0.0005983489002179,0.1160714285714285,0.8928571428571429,liquid,0.8875000000000001
56,0.0003872565848167,0.0004508996389913,0.0002545536318863,0.0007481231834435,2582.267259513952,2792.560014058276,3830,76600,0.0008655821656866,0.4196428571428571,0.5892857142857143,liquid,0.5839285714285714
59,0.0004592542448185,0.0006122440995222,0.0005241014398627,0.0011539247581526,2177.443129463829,2363.922706091619,3830,76594,0.0006154571324461,0.5,0.5089285714285714,liquid,0.5035714285714286
62,0.0008014361940253,0.0010013129379985,0.0007027168655889,0.0018272915997943,1247.759969877422,1399.3211974433154,3830,76582,0.0009766171478797,0.8303571428571429,0.1785714285714285,illiquid,0.1732142857142857
64,0.0001959125525734,0.0002597525472959,0.000233042823253,0.0004545854654243,5104.318160692706,5344.474191592374,3830,76600,0.0004157220678955,0.0982142857142857,0.9107142857142856,liquid,0.9053571428571427
