stock_id,median_bas,mean_bas,median_log_activity,median_rv,mean_rv,rv_std,liquid_pct,illiquid_pct,mixed_pct,n_buckets,stock_regime,recommended_model
43,4.465246408324279e-05,4.681455204392029e-05,9.99449862625858,0.0002490467014063,0.00033418556682837376,0.0002882900408802347,0.9999477806788512,0.0,5.2219321148825065e-05,57450,liquid,EGARCH-X
29,6.394343361821876e-05,6.728735548524524e-05,9.642058860316705,0.0003400615718914,0.00042219420602358716,0.00030247073047563424,0.9995300261096606,0.0,0.0004699738903394256,57450,liquid,EGARCH-X
69,8.690027390118408e-05,0.00011162300535203671,9.339395533636052,0.00042553920761869996,0.0005445793930118146,0.0004239078819082528,0.9646997389033942,0.0034464751958224542,0.03185378590078329,57450,liquid,EGARCH-X
111,0.0001915717522102,0.00020303886226102438,8.55523428814692,0.00045107145694545,0.0005812866345207762,0.0004958903150969833,0.9617754569190601,0.006074847693646649,0.0321496953872933,57450,liquid,EGARCH-X
41,0.00022925663573590001,0.00024310130266631596,8.376546293675947,0.00036555200590115,0.0004816575495058607,0.0004511176444669446,0.9517319408181028,0.004630113141862489,0.04363794604003481,57450,liquid,EGARCH-X
124,0.00019404721811600001,0.0002065345592952958,8.542463912736206,0.00070367906248105,0.0008744007725837945,0.0005968705633876,0.9398259355961706,0.0030461270670147957,0.05712793733681462,57450,liquid,EGARCH-X
46,0.00020976195615910002,0.00022763224344292903,8.464991970970836,0.00033782470803805,0.00044359451661343666,0.00040842199102956805,0.9327763272410792,0.006370757180156658,0.06085291557876414,57450,liquid,EGARCH-X
47,0.00022984042341415,0.00024858339852448005,8.374014707680633,0.00039086844505824996,0.0005114253395765545,0.0005086534418883465,0.9240905134899913,0.009399477806788513,0.06651000870322019,57450,liquid,EGARCH-X
125,0.00018885271139285,0.0002348508783011862,8.56945182431787,0.000346250878045,0.00046288926128077086,0.00047784491078565176,0.9032201914708442,0.025239338555265448,0.07154046997389034,57450,liquid,EGARCH-X
14,0.00015349839218305,0.00019390153308992806,8.77548135476794,0.0004858330487413,0.0006472319819182514,0.0006011547641310964,0.9003655352480417,0.021357702349869452,0.07827676240208878,57450,liquid,EGARCH-X
