time_id,bucket_idx,pred_RV,actual_RV,QLIKE,MSE,model,stock_id
8256,1,0.001133238791981758,0.0042108137399991,-3.0669417079066403,9.471467560663946e-06,"GJR-GARCH(1,1,1)-t",5
633,3,0.0004688895663260609,0.0026062449605795,-2.106808981032236,4.568288081344273e-06,"GJR-GARCH(1,1,1)-t",5
17424,2,0.00026151716197747913,0.0015627340963946,-2.273364213658459,1.69316551041389e-06,"GJR-GARCH(1,1,1)-t",5
25617,0,0.0014254565297727477,0.0053308574744705,-2.8135086429061853,1.5252156538846095e-05,"GJR-GARCH(1,1,1)-t",5
1125,2,0.0010821089664104877,0.0046266309216011,-2.553274977317791,1.256363589082828e-05,"GJR-GARCH(1,1,1)-t",5
1227,1,0.0003098157992378442,0.0020351865863496,-1.5105113263838188,2.9769043530186392e-06,"GJR-GARCH(1,1,1)-t",5
1227,2,0.0003098157992378442,0.0019864348398016,-1.6678685259454005,2.811051407180928e-06,"GJR-GARCH(1,1,1)-t",5
25815,0,0.00018889263841034888,0.0016792995340836,0.31590106829782094,2.2213127146703774e-06,"GJR-GARCH(1,1,1)-t",5
25815,3,0.00018889263841034888,0.0013579194633166,-1.3854890624749654,1.3666237173503906e-06,"GJR-GARCH(1,1,1)-t",5
26107,0,0.0005941195208585989,0.003393058381847,-1.717359692052022,7.834058747551049e-06,"GJR-GARCH(1,1,1)-t",5
26107,2,0.0005941195208585989,0.0025779080755915,-3.0893905337208434,3.935417029889252e-06,"GJR-GARCH(1,1,1)-t",5
10017,3,0.0037527999997695963,0.0115554218425533,-2.5061063223654108,6.0880907621485354e-05,"GJR-GARCH(1,1,1)-t",5
1981,1,0.0008495618644378236,0.0051952230160649,-0.9556106261180473,1.8884770844760765e-05,"GJR-GARCH(1,1,1)-t",5
1981,3,0.0008495618644378236,0.0032358691946912,-3.2619215651928064,5.694462674420998e-06,"GJR-GARCH(1,1,1)-t",5
18701,2,0.0007167531214905866,0.0029005415383646,-3.194000017043723,4.76893184967311e-06,"GJR-GARCH(1,1,1)-t",5
10546,1,0.0009110352488316994,0.0036739264651947,-2.9682348774011817,7.633567873455822e-06,"GJR-GARCH(1,1,1)-t",5
10546,2,0.0009110352488316994,0.0037068155565022,-2.9321340883815727,7.816387528758159e-06,"GJR-GARCH(1,1,1)-t",5
26944,3,0.00031813155464707375,0.0020276045141377,-1.6795674113123535,2.9222977992296405e-06,"GJR-GARCH(1,1,1)-t",5
10633,1,0.0007588458343420355,0.0029852900039703,-3.2497244479992964,4.957053640471693e-06,"GJR-GARCH(1,1,1)-t",5
27127,2,0.0009654977825302827,0.0038006419789295,-3.006408225712677,8.038042614376163e-06,"GJR-GARCH(1,1,1)-t",5
10806,2,0.0018281397089680335,0.0057934382230573,-3.1354216549023204,1.5723592305838547e-05,"GJR-GARCH(1,1,1)-t",5
27194,3,0.0010207275125116088,0.0040666463049764,-2.9031731419552926,9.277621290290175e-06,"GJR-GARCH(1,1,1)-t",5
19262,1,0.0016734193240662116,0.00933085229487,-0.8169662359713277,5.863627970235293e-05,"GJR-GARCH(1,1,1)-t",5
19262,2,0.0016734193240662116,0.0055736841198074,-3.062170483961679,1.5212065476898052e-05,"GJR-GARCH(1,1,1)-t",5
19262,3,0.0016734193240662116,0.0063426816371371,-2.602633829717047,2.1802010548264108e-05,"GJR-GARCH(1,1,1)-t",5
11113,3,0.0023860593537618343,0.0074875251949138,-2.900082347566239,2.602495372844033e-05,"GJR-GARCH(1,1,1)-t",5
11995,2,0.003276548170902192,0.0081932862022183,-3.220380104598191,2.41743128685902e-05,"GJR-GARCH(1,1,1)-t",5
3999,0,0.0012958004964035888,0.0046326932576586,-3.0734672830175924,1.1134853300116095e-05,"GJR-GARCH(1,1,1)-t",5
20408,1,0.0007295125933113028,0.0062252512877724,1.3103051728771602,3.0203143797796965e-05,"GJR-GARCH(1,1,1)-t",5
28697,2,0.0007970604001197216,0.0039051677116178,-2.235117383171027,9.660331059787813e-06,"GJR-GARCH(1,1,1)-t",5
28837,3,0.00045284471317957317,0.0040313136585051,1.2022375039599815,1.280543999265919e-05,"GJR-GARCH(1,1,1)-t",5
20715,1,0.0003493546570752165,0.0023328809332454,-1.2817362821241742,3.934376488257556e-06,"GJR-GARCH(1,1,1)-t",5
29150,0,5.00624160865267e-05,0.0006256198873488,2.5945577135051714,3.312664027258226e-07,"GJR-GARCH(1,1,1)-t",5
29150,1,5.00624160865267e-05,0.0005099831189069,0.2847057830263058,2.1152705288278617e-07,"GJR-GARCH(1,1,1)-t",5
29150,2,5.00624160865267e-05,0.0013701792614736,17.46717937918589,1.7427084854747175e-06,"GJR-GARCH(1,1,1)-t",5
29150,3,5.00624160865267e-05,0.00066495984536,3.3803759197860224,3.780988485271261e-07,"GJR-GARCH(1,1,1)-t",5
29219,1,0.001120625859648993,0.0040797274570614,-3.153288513190269,8.75628226380866e-06,"GJR-GARCH(1,1,1)-t",5
29271,1,0.0020517835342253807,0.0062098168055427,-3.162500063209985,1.7289240685381808e-05,"GJR-GARCH(1,1,1)-t",5
4762,1,0.0010292351650585407,0.0046131216966344,-2.396852171459166,1.2844242671210844e-05,"GJR-GARCH(1,1,1)-t",5
13028,0,0.0006261024831454014,0.0029733034094658,-2.6270879805668628,5.509352188519338e-06,"GJR-GARCH(1,1,1)-t",5
4844,2,0.00019878442179030735,0.0024305445909683,3.703747928930202,4.980753452729383e-06,"GJR-GARCH(1,1,1)-t",5
13207,1,0.0007247205745971861,0.0028885207605608,-3.244021678443353,4.68203124477617e-06,"GJR-GARCH(1,1,1)-t",5
5249,0,0.0008300771806155852,0.003814525060585,-2.498605865738126,8.906929148253936e-06,"GJR-GARCH(1,1,1)-t",5
5249,2,0.0008300771806155852,0.003717399455664,-2.6156137864340927,8.336629919990755e-06,"GJR-GARCH(1,1,1)-t",5
5249,3,0.0008300771806155852,0.0040535243117593,-2.2106817343976424,1.0390611407278646e-05,"GJR-GARCH(1,1,1)-t",5
21848,0,0.0002672817933884696,0.0013912932127058,-3.0218647967031282,1.2634016707557598e-06,"GJR-GARCH(1,1,1)-t",5
21848,2,0.0002672817933884696,0.001668580843476,-1.9844292600177402,1.963639027776215e-06,"GJR-GARCH(1,1,1)-t",5
21848,3,0.0002672817933884696,0.0014689865505531,-2.731185297503645,1.4440943233921035e-06,"GJR-GARCH(1,1,1)-t",5
30183,0,0.0009640529993640974,0.0036455716659907,-3.162858841658666,7.190542359466912e-06,"GJR-GARCH(1,1,1)-t",5
22590,1,0.0004269270152936603,0.0026650030500834,-1.5166055822526703,5.008984337500165e-06,"GJR-GARCH(1,1,1)-t",5
22912,2,0.00035209602313525135,0.0016358034989743,-3.305704964834688,1.6479048835250613e-06,"GJR-GARCH(1,1,1)-t",5
6657,1,0.0002857310504931233,0.0026019319025273,0.945767762766943,5.364786386963847e-06,"GJR-GARCH(1,1,1)-t",5
6657,2,0.0002857310504931233,0.0020437412857624,-1.0077847678437752,3.0905999873115368e-06,"GJR-GARCH(1,1,1)-t",5
7632,1,0.002564538221790428,0.0071304562176432,-3.185571331142023,2.084760714485219e-05,"GJR-GARCH(1,1,1)-t",5
32255,3,0.0009084394002568689,0.0037191189471531,-2.9098175538865982,7.899919515340802e-06,"GJR-GARCH(1,1,1)-t",5
